city,state,population,state_name,slug
Terre Haute,IN,61025,Indiana,terre-haute-in
North Miami,FL,61007,Florida,north-miami-fl
Mansfield,TX,60872,Texas,mansfield-tx
West Allis,WI,60697,Wisconsin,west-allis-wi
Bristol,CT,60568,Connecticut,bristol-ct
Taylorsville,UT,60519,Utah,taylorsville-ut
Malden,MA,60509,Massachusetts,malden-ma
Meriden,CT,60456,Connecticut,meriden-ct
Blaine,MN,60407,Minnesota,blaine-mn
Wellington,FL,60202,Florida,wellington-fl
Cupertino,CA,60189,California,cupertino-ca
Springfield,OR,60177,Oregon,springfield-or
Rogers,AR,60112,Arkansas,rogers-ar
St. Clair Shores,MI,60070,Michigan,st-clair-shores-mi
Gardena,CA,59957,California,gardena-ca
Pontiac,MI,59887,Michigan,pontiac-mi
National City,CA,59834,California,national-city-ca
Grand Junction,CO,59778,Colorado,grand-junction-co
Rocklin,CA,59738,California,rocklin-ca
Chapel Hill,NC,59635,North Carolina,chapel-hill-nc
Casper,WY,59628,Wyoming,casper-wy
Broomfield,CO,59471,Colorado,broomfield-co
Petaluma,CA,59440,California,petaluma-ca
South Jordan,UT,59366,Utah,south-jordan-ut
Springfield,OH,59357,Ohio,springfield-oh
Great Falls,MT,59351,Montana,great-falls-mt
Lancaster,PA,59325,Pennsylvania,lancaster-pa
North Port,FL,59212,Florida,north-port-fl
Lakewood,WA,59097,Washington,lakewood-wa
Marietta,GA,59089,Georgia,marietta-ga
San Rafael,CA,58994,California,san-rafael-ca
Royal Oak,MI,58946,Michigan,royal-oak-mi
Des Plaines,IL,58918,Illinois,des-plaines-il
Huntington Park,CA,58879,California,huntington-park-ca
La Mesa,CA,58642,California,la-mesa-ca
Orland Park,IL,58590,Illinois,orland-park-il
Auburn,AL,58582,Alabama,auburn-al
Lakeville,MN,58562,Minnesota,lakeville-mn
Owensboro,KY,58416,Kentucky,owensboro-ky
Moore,OK,58414,Oklahoma,moore-ok
Jupiter,FL,58298,Florida,jupiter-fl
Idaho Falls,ID,58292,Idaho,idaho-falls-id
Dubuque,IA,58253,Iowa,dubuque-ia
Bartlett,TN,58226,Tennessee,bartlett-tn
Rowlett,TX,58043,Texas,rowlett-tx
Novi,MI,57960,Michigan,novi-mi
White Plains,NY,57866,New York,white-plains-ny
Arcadia,CA,57639,California,arcadia-ca
